session_id,window_id,key_presses,key_releases,mouse_moves,mouse_clicks,scroll_ups,scroll_downs,typing_speed,mouse_activity,total_events,anomaly_score,stress_risk,is_anomaly
f6531a67,0,0,0,630,2,0,0,0.0,632,632,-0.42782398097342206,0.1308933791413769,False
f6531a67,1,26,26,174,2,0,0,2.6,176,228,-0.5023718024496913,0.48533792792036135,False
f6531a67,2,25,24,69,0,0,9,2.5,78,127,-0.4986956635553701,0.467859383734314,False
f6531a67,3,0,0,608,2,0,0,0.0,610,610,-0.43024136195166884,0.14238704177421901,False
f6531a67,4,0,0,629,6,0,0,0.0,635,635,-0.5023878114551792,0.4854140442254955,False
f6531a67,5,0,0,284,5,0,0,0.0,289,289,-0.45125457850890843,0.24229633373651727,False
f6531a67,6,0,0,393,2,0,0,0.0,395,395,-0.40992570258607103,0.0457943503395124,False
f6531a67,7,0,0,458,1,0,26,0.0,485,485,-0.45069378139747057,0.23962997172641587,False
f6531a67,8,0,0,373,1,30,25,0.0,429,429,-0.5542698698142869,0.7320921147667353,True
f6531a67,9,2,2,592,2,0,0,0.2,594,598,-0.5232317654349518,0.5845185615249344,False
f6531a67,10,25,24,124,1,0,0,2.5,125,174,-0.46385393434779937,0.30220114257983344,False
f6531a67,11,49,50,0,0,0,0,4.9,0,99,-0.5363910292164761,0.6470855047425949,False
f6531a67,12,75,41,0,0,0,0,7.5,0,116,-0.5824725770293216,0.8661845085513197,True
f6531a67,13,71,70,0,0,0,0,7.1,0,141,-0.6106170453294839,1.0,True
f6531a67,14,42,39,0,0,0,0,4.2,0,81,-0.5344285633084834,0.6377547781099726,False
f6531a67,15,22,22,253,1,0,3,2.2,257,301,-0.5163800599779464,0.5519414908475863,False
f6531a67,16,0,0,429,1,0,11,0.0,441,441,-0.4002941009404893,4.754592941580427e-09,False
f6531a67,17,0,0,200,1,0,13,0.0,214,214,-0.4188280090010409,0.08812119393950546,False
f6531a67,18,0,0,101,1,0,13,0.0,115,115,-0.4538406753625067,0.2545921716861774,False
f6531a67,19,0,0,292,0,0,15,0.0,307,307,-0.41249849484815826,0.058026930371751884,False
f6531a67,20,0,0,288,0,0,22,0.0,310,310,-0.4461200626617638,0.21788380072615887,False
f6531a67,21,12,12,86,1,0,0,1.2,87,111,-0.4643964703753951,0.3047806805688641,False
f6531a67,22,0,0,262,0,0,6,0.0,268,268,-0.4174008990094147,0.08133586678945648,False
f6531a67,23,0,0,515,1,0,16,0.0,532,532,-0.43678908386190207,0.17351879441358575,False
f6531a67,24,4,2,75,1,0,0,0.4,76,82,-0.4737535421537467,0.3492697483738323,False
